seed,load,qos_regime,algorithm,fog_node_id,completed_tasks
10014,low,clean,DT-KF-CostAware,fog-1,70
10014,low,clean,DT-KF-CostAware,fog-2,69
10014,low,clean,DT-KF-CostAware,fog-3,40
10014,low,clean,DT-KF-CostAware,fog-4,70
10014,low,clean,DT-KF-CostAware,fog-5,69
10014,low,clean,DT-KF-CostAware,fog-6,40
10014,low,clean,DT-KF-CostAware,fog-7,4
10014,low,clean,DT-KF-CostAware,fog-8,69
10014,low,clean,DT-OPT,fog-1,23
10014,low,clean,DT-OPT,fog-2,147
10014,low,clean,DT-OPT,fog-3,13
10014,low,clean,DT-OPT,fog-4,7
10014,low,clean,DT-OPT,fog-5,180
10014,low,clean,DT-OPT,fog-6,2
10014,low,clean,DT-OPT,fog-7,9
10014,low,clean,DT-OPT,fog-8,56
10014,low,clean,SemiGreedy,fog-1,53
10014,low,clean,SemiGreedy,fog-2,0
10014,low,clean,SemiGreedy,fog-3,0
10014,low,clean,SemiGreedy,fog-4,12
10014,low,clean,SemiGreedy,fog-5,177
10014,low,clean,SemiGreedy,fog-6,0
10014,low,clean,SemiGreedy,fog-7,0
10014,low,clean,SemiGreedy,fog-8,2
10014,low,clean,Fog-only,fog-1,129
10014,low,clean,Fog-only,fog-2,9
10014,low,clean,Fog-only,fog-3,0
10014,low,clean,Fog-only,fog-4,52
10014,low,clean,Fog-only,fog-5,221
10014,low,clean,Fog-only,fog-6,1
10014,low,clean,Fog-only,fog-7,0
10014,low,clean,Fog-only,fog-8,25
10014,low,clean,DRL-OO,fog-1,64
10014,low,clean,DRL-OO,fog-2,107
10014,low,clean,DRL-OO,fog-3,0
10014,low,clean,DRL-OO,fog-4,40
10014,low,clean,DRL-OO,fog-5,195
10014,low,clean,DRL-OO,fog-6,5
10014,low,clean,DRL-OO,fog-7,2
10014,low,clean,DRL-OO,fog-8,24
10015,low,clean,DT-KF-CostAware,fog-1,76
10015,low,clean,DT-KF-CostAware,fog-2,17
10015,low,clean,DT-KF-CostAware,fog-3,96
10015,low,clean,DT-KF-CostAware,fog-4,76
10015,low,clean,DT-KF-CostAware,fog-5,6
10015,low,clean,DT-KF-CostAware,fog-6,1
10015,low,clean,DT-KF-CostAware,fog-7,96
