seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,policy_seed
10029,medium,moderate,Fog-only,953,952,303.6330738204672,615.905544161049,0.0,10.577777777777778,130.18132265590407,8.445780518725929,0.3087168559825514,0.6132028492865957,0.0,0.0,1.4865176635574051,15.56408803464356,31.188089476519334,129940.00000000001,2.183205080815888,0.036127228729998906,100.0,0.0,100.0,0.0,36.5,61.8349999999999,87.50699999999968,0.59375,100.3613006786967,0.5916125000221655,nan,1933.6981553924886,
10029,medium,moderate,DRL-OO-2025,953,952,319.82574142038123,684.6651266106788,4.092339979013641,10.577777777777778,133.63668838474385,8.81116566140066,0.3145458708489386,0.59590138742536,0.0,0.0,1.4676016032126855,14.991255566313407,29.721530522059947,122640.0,2.0605531099835344,0.033707601535317266,95.90766002098636,0.0,97.90136411332634,2.0986358866736623,614.8,1081.2699999999998,1356.3229999999971,1.46875,97.60612951475493,1.5047722999588586,nan,760.2479126119464,505
10000,high,moderate,DT-KF-CostAware,1568,1533,470.4422343803361,1048.27955702666,17.091836734693878,17.033333333333335,196.92400397952858,17.115671856633064,0.3970524094804363,0.8548193597360481,1.211734693877551,0.0,1.780625288084593,21.124626756046432,42.128552853629195,316820.0,2.580464817607759,0.10246073334940692,82.90816326530613,0.0,86.7984693877551,11.989795918367347,332.0,640.0,882.1199999999998,1.921875,99.74438449730671,1.9268002000171691,nan,996.98972419812,
10000,high,moderate,DT-OPT,1568,1537,477.3936908242984,1121.3749220153334,17.602040816326532,17.07777777777778,196.74912969205582,17.110981915555897,0.395729161976579,0.8569112305130921,0.9566326530612245,0.0,1.7752649979169706,21.30888545847744,43.925568183900545,308060.0,2.5105878496708307,0.10174986440376207,82.39795918367346,0.0,86.67091836734694,12.372448979591837,339.5,609.3,864.7399999999991,1.90625,99.73375208430393,1.9113388999830931,nan,1005.0546242830052,
10000,high,moderate,SemiGreedy,1568,1556,330.73010403776624,565.3292612335867,2.423469387755102,17.288888888888888,360.22091677425,25.691187369099612,0.36170784043782767,0.6165806232686389,0.0,0.0,1.676041937910431,22.311734990263094,44.28776325865111,281780.00000000006,2.2909995459141017,0.05722389921888516,97.5765306122449,0.0,69.19642857142857,30.803571428571427,366.9,643.6,965.5199999999996,1.890625,96.20064382288282,1.9652934999903664,nan,977.4621449719426,
10000,high,moderate,Fog-only,1568,1551,545.8427757772691,1148.38264138803,41.964285714285715,17.233333333333334,107.20321943196437,12.941066314317613,0.4185603467579762,0.9892655520573228,0.0,0.0,1.8533842888787602,20.3659527118033,38.71386199840764,270100.0,2.1960358341663664,0.12106547631457239,58.035714285714285,0.0,100.0,0.0,51.3,83.7,107.57999999999998,1.25,98.07106762964521,1.274585900013335,nan,1507.1561673323877,
10000,high,moderate,DRL-OO-2025,1568,1543,414.6469945412165,993.1801865070273,12.181122448979592,17.144444444444446,272.42950415290164,21.008149066520083,0.38040366911187007,0.720429650099602,0.7653061224489796,0.0,1.7141600656169789,21.69014734451933,43.38450714668387,256960.00000000003,2.0928997950919483,0.07692791982224563,87.8188775510204,0.0,72.51275510204081,26.721938775510203,453.1,883.6,1268.7999999999995,2.078125,98.71725170360448,2.1051284999703057,nan,912.5333679284172,501
10001,high,moderate,DT-KF-CostAware,1549,1537,448.9231110343318,979.0538308763499,14.525500322788895,17.07777777777778,173.41248694510924,16.49022093072225,0.38885320665421386,0.9252927068487272,0.45190445448676564,0.0,1.836569765611596,19.25435469920146,37.87442749702956,201479.99999999997,1.883571040534639,0.06378953799015809,85.4744996772111,0.0,90.05810200129116,9.489993544222079,374.0,712.4,970.2399999999999,2.015625,99.07121640867331,2.0345212999964133,nan,940.270323050131,
10001,high,moderate,DT-OPT,1549,1538,453.8730602273182,986.8870926741217,14.654615881213687,17.08888888888889,168.45538326202606,16.22331871214215,0.3885574312722429,0.933234405845502,0.38734667527437056,0.0,1.842728087322428,18.971348430677846,37.62702001070383,213159.99999999994,1.9923565888342782,0.07267174851393497,85.34538411878631,0.0,90.7682375726275,8.844415752098127,329.3,623.6999999999988,910.4519999999994,1.890625,99.41518499840176,1.9017466999939643,nan,1005.9173495639936,
10001,high,moderate,SemiGreedy,1549,1544,322.61334862243604,528.570621618735,1.0329244673983216,17.155555555555555,339.9703081409637,25.298621989485685,0.3559906308320627,0.660660818554752,0.0,0.0,1.716590677806017,19.06811666232993,37.35627531299964,223380.00000000003,2.087449539051931,0.05454277612839369,98.96707553260168,0.0,69.98063266623627,30.019367333763718,355.9,739.42,1039.8759999999993,1.890625,99.21291914989756,1.9056238000048324,nan,1003.8707535008477,
