qos_regime,load,metric,comparator,n_pairs,mean_improvement,improvement_sd,improvement_ci95,normality_test,normality_p,test,statistic,raw_p,holm_p,effect_name,effect_size,effect_ci95_low,effect_ci95_high
clean,low,network_failure_rate_pct,Fog-only,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
clean,low,network_failure_rate_pct,SemiGreedy,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
clean,low,retransmission_overhead_pct,DRL-OO,30,0.02282453576500285,0.06737964030308878,0.025159943082268345,Jarque-Bera,0.29308786524151736,paired_t,1.8553843634131728,0.07373216005807492,0.958518080754974,cohens_dz,0.3387452895612525,-0.036640311296447035,0.6852113543875297
clean,low,retransmission_overhead_pct,DT-OPT,30,0.0017954659233358266,0.0627011713081723,0.02341297600000477,Jarque-Bera,0.3209863101173114,paired_t,0.15684191649458043,0.8764562863556695,1.0,cohens_dz,0.028635285208807766,-0.36909734878449546,0.3770962619285187
clean,low,retransmission_overhead_pct,Fog-only,30,0.012314797545239698,0.0664448059008956,0.024810870569492573,Jarque-Bera,0.993936776799752,paired_t,1.0151421642645073,0.31843313058352773,1.0,cohens_dz,0.18533875414742845,-0.15863030316654672,0.5646342261412881
clean,low,retransmission_overhead_pct,SemiGreedy,30,-0.021209878201867847,0.06408093768828499,0.023928188658224783,Jarque-Bera,0.7950122499083586,paired_t,-1.8128836986765764,0.08021388458996337,0.9625666150795604,cohens_dz,-0.3309857652995198,-0.7124718623803691,-0.001423723485862397
clean,low,sla_success_pct,DRL-OO,30,0.1917497718003503,0.2670239461672384,0.09970826880271172,Jarque-Bera,0.13066240337733612,paired_t,3.933193143125139,0.00047949556484105926,0.010069406861662245,cohens_dz,0.7180995358380946,0.4534225412153763,1.0720821771029598
clean,low,sla_success_pct,DT-OPT,30,0.27850282103338014,0.2998362188356429,0.1119605590943101,Jarque-Bera,0.42973129574531116,paired_t,5.087520046816745,1.9888266671985733e-05,0.00045743013345567185,cohens_dz,0.9288498304670899,0.6527639075698527,1.353244236866037
clean,low,sla_success_pct,Fog-only,30,-0.12520802664775252,0.18163895341874478,0.06782502413164282,Jarque-Bera,0.0690656101194326,paired_t,-3.7755811341624232,0.0007331816880176145,0.013930452072334676,cohens_dz,-0.6893236516238994,-0.9593756647631551,-0.4652702309796043
clean,low,sla_success_pct,SemiGreedy,30,-0.12520802664775252,0.18163895341874478,0.06782502413164282,Jarque-Bera,0.0690656101194326,paired_t,-3.7755811341624232,0.0007331816880176145,0.013930452072334676,cohens_dz,-0.6893236516238994,-0.9506812031787549,-0.4689030815571163
clean,medium,mean_latency_ms,DRL-OO,30,22.00767759680174,5.536569911930938,2.0673868727790783,Jarque-Bera,0.9188725243458016,paired_t,21.77178587069516,0.0,0.0,cohens_dz,3.9749660795173316,3.2822511504021126,5.407996679152731
clean,medium,mean_latency_ms,DT-OPT,30,23.5488364100255,7.3486101137015165,2.7440130484940566,Jarque-Bera,0.7626487579285739,paired_t,17.551929827820285,0.0,0.0,cohens_dz,3.204529298148312,2.680093055653971,4.20237491391574
clean,medium,mean_latency_ms,Fog-only,30,7.791501427590254,6.380567973124669,2.382540576266653,Jarque-Bera,0.45255859508496576,paired_t,6.68840314326278,2.456741834411247e-07,3.6851127516168702e-06,cohens_dz,1.2211297584178273,0.9396963298457218,1.665680698581044
clean,medium,mean_latency_ms,SemiGreedy,30,-56.36984112365259,8.229109546815717,3.072796573034589,Jarque-Bera,0.8276032661986197,paired_t,-37.51928853390229,0.0,0.0,cohens_dz,-6.850053557187739,-9.18729728803943,-5.750068143397598
clean,medium,p95_latency_ms,DRL-OO,30,119.42292098278978,44.92391800993524,16.774847937421338,Jarque-Bera,0.6098089398380326,paired_t,14.560312324264542,7.327471962526033e-15,2.1249668691325496e-13,cohens_dz,2.6583371681067214,2.183697707060448,3.5565804046130953
clean,medium,p95_latency_ms,DT-OPT,30,112.54678937393426,43.074565806115054,16.0842892467266,Jarque-Bera,0.46575569615791546,paired_t,14.311093834899483,1.1324274851176597e-14,3.170796958329447e-13,cohens_dz,2.612836305315853,2.088084117074917,3.561657978396769
clean,medium,p95_latency_ms,Fog-only,30,46.680653113491005,40.95810556112506,15.293990885674189,Jarque-Bera,0.08639614518765251,paired_t,6.2424876246230525,8.207137995874803e-07,1.1489993194224724e-05,cohens_dz,1.1397170956509626,0.9112166069877308,1.513019205961608
