seed,load,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,task_count,fog_nodes
4001,high,SemiGreedy,200,199,255.4264555810119,381.660645105606,0.0,2.2111111111111112,63.380226254844025,4.191300692616343,0.325259740274982,0.1,0.0,0.0,37.5,62.5,1029.4,1624.33,2027.1469999999995,0.53125,102.45170547208882,0.5185369999962859,168.19921875,385.7005382478638,200,10
4001,high,Fog-only,200,198,360.91059394541315,865.6798617832272,1.0,2.2,17.318767864224956,1.5328382087744317,0.3360694855086031,0.13643766965963666,0.0,0.0,100.0,0.0,64.45,99.19999999999993,122.02899999999997,0.3125,100.89224256540608,0.30973639999865554,156.46875,645.710352418599,200,10
4002,high,DT-KF-CostAware,200,198,307.1821192109556,594.6304075139984,0.0,2.2,16.92048637051928,1.7479018623848774,0.3097164706703344,0.21388790141011968,0.0,0.0,96.0,4.0,899.8,1324.34,1658.7619999999995,0.46875,99.24005932706959,0.4723394999746233,165.05859375,423.42425312883023,200,10
4002,high,DT-OPT,200,198,308.3072195454691,594.6304075139984,0.0,2.2,15.088130147438202,1.640030403381866,0.3079450679364755,0.20666315234580918,0.0,0.0,100.0,0.0,943.85,1522.1249999999995,1782.0349999999994,0.5,100.09080237402767,0.49954640000942163,165.46484375,400.3632094961107,200,10
4002,high,SemiGreedy,200,199,239.7543301354247,327.99936820980935,0.0,2.2111111111111112,53.50252980673959,3.642771140122971,0.3257123793901889,0.10407993338884262,0.0,0.0,50.5,49.5,1017.3,1659.2549999999999,1910.5329999999976,0.515625,100.81309364887532,0.511466299998574,168.5390625,391.0326056683649,200,10
4002,high,Fog-only,200,199,299.8413556200461,586.435069336731,0.0,2.2111111111111112,19.475210140423542,1.8612803864051766,0.33514436568010175,0.12464511661578169,0.0,0.0,100.0,0.0,64.45,98.03499999999995,114.95399999999995,0.3125,102.00774083914332,0.30634929999359883,156.34375,652.8495413705173,200,10
4003,high,DT-KF-CostAware,200,198,310.2666845997072,609.581768878167,0.0,2.2,18.09676555906909,1.4863593589002297,0.2975558991174351,0.14614623754089628,0.0,0.0,99.0,1.0,902.9,1429.0399999999995,1743.6519999999994,0.46875,97.86543737282608,0.47897399999783374,166.3359375,417.5591994573913,200,10
4003,high,DT-OPT,200,198,309.2547464183234,609.581768878167,0.0,2.2,17.99331336167112,1.4775701949942521,0.29682485234136435,0.14415883511013708,0.0,0.0,99.5,0.5,938.6,1404.8999999999994,1933.192999999999,0.484375,99.08770778043886,0.4888346000225283,166.16015625,409.1363418031024,200,10
4003,high,SemiGreedy,200,199,240.33250960396379,335.67498995348046,0.0,2.2111111111111112,57.10703370048688,3.7351184805051765,0.30403148336939034,0.1,0.0,0.0,45.5,54.5,1002.75,1537.1499999999992,2293.9329999999964,0.5,99.75239460777985,0.5012410999916028,168.5,399.0095784311194,200,10
4003,high,Fog-only,200,198,304.4749437688356,609.581768878167,0.0,2.2,18.118013091083228,1.4561346408282212,0.2936750054781046,0.12583937857097002,0.0,0.0,100.0,0.0,61.6,97.62499999999993,130.5219999999999,0.296875,100.93823684886435,0.29411550000077114,156.46875,680.0049640344546,200,10
4004,high,DT-KF-CostAware,200,199,367.2107850386835,823.485880402275,0.0,2.2111111111111112,18.474059136175832,1.3835125459765198,0.3320143677168852,0.16762328042328042,0.0,0.0,100.0,0.0,906.25,1242.1599999999994,1588.9549999999995,0.4375,94.48715504180484,0.4630258999823127,165.05078125,431.9412801911078,200,10
4004,high,DT-OPT,200,199,366.053955983053,823.485880402275,0.0,2.2111111111111112,18.613627399330625,1.3810944741789792,0.331508547994232,0.15825840226991167,0.0,0.0,100.0,0.0,928.6,1336.6899999999996,1548.2219999999977,0.484375,100.48298215107936,0.4820467999961693,165.35546875,414.8974746883277,200,10
4004,high,SemiGreedy,200,199,256.0144003406073,370.80346511447453,0.0,2.2111111111111112,67.46254918699196,4.374432929598497,0.32735926054531034,0.13348729792147807,0.0,0.0,34.0,66.0,1022.6500000000001,1654.2849999999999,2533.834999999998,0.5,95.92596664205861,0.521235299995169,168.01171875,383.70386656823445,200,10
4004,high,Fog-only,200,199,365.1864032890571,823.485880402275,0.0,2.2111111111111112,18.841682921600302,1.381856706698852,0.3310192604837803,0.16290674235879715,0.0,0.0,100.0,0.0,61.7,117.80499999999999,142.32399999999998,0.296875,98.87000946092574,0.30026799999177456,156.296875,666.0716426841312,200,10
4005,high,DT-KF-CostAware,200,198,312.9366474356638,606.5480684993374,0.5,2.2,29.1483159653459,2.1526911337478776,0.3277237661572265,0.23794196295929484,0.0,0.0,78.5,21.5,953.4,1461.7749999999999,1942.4679999999994,0.46875,93.40831239042176,0.5018290000152774,165.66796875,398.54213286579954,200,10
4005,high,DT-OPT,200,198,314.55154390008704,606.5480684993374,0.0,2.2,27.306504980638444,2.035061440840597,0.32867758487051896,0.23981406264103258,0.0,0.0,82.5,17.5,943.2,1222.1299999999999,1915.0859999999993,0.484375,99.31047010742999,0.48773809999693185,166.80078125,410.0561346371303,200,10
4005,high,SemiGreedy,200,199,246.76232217557546,352.1874160626539,0.0,2.2111111111111112,57.78186876263508,3.812666458604563,0.3200594908746913,0.19867604468349193,0.0,0.0,49.0,51.0,1024.1,1589.879999999999,2041.6299999999992,0.515625,101.108749969508,0.5099707000190392,167.59765625,392.1793938211219,200,10
4005,high,Fog-only,200,198,331.5445935042637,696.4417353195429,0.5,2.2,16.976809745152767,1.3148099090793306,0.32563531239381616,0.20104615384615385,0.0,0.0,100.0,0.0,62.7,86.12999999999985,141.15999999999977,0.296875,98.93518250094901,0.30007019999902695,156.421875,666.5107031642881,200,10
4006,high,DT-KF-CostAware,200,199,363.83359561085877,704.2065114738647,0.5,2.2111111111111112,18.678619890070742,1.593526491566222,0.31279348251354716,0.22785290628707,0.0,0.0,98.5,1.5,873.3,1187.04,1432.2309999999993,0.421875,94.5182019402939,0.4463425999856554,165.2734375,448.0862906799118,200,10
4006,high,DT-OPT,200,199,365.9927124905566,720.4459176684802,0.5,2.2111111111111112,17.441345109338567,1.4979048598014455,0.31049479182928796,0.2013985658343081,0.0,0.0,100.0,0.0,899.75,1622.4949999999992,1750.753,0.484375,98.9437556209068,0.4895457999955397,164.77734375,408.54195869277646,200,10
4006,high,SemiGreedy,200,199,258.18021677128837,356.5118249137934,0.0,2.2111111111111112,65.43582596142078,4.317479874223959,0.31477892413622366,0.14962371721778792,0.0,0.0,41.0,59.0,997.9,1481.2899999999993,1901.4409999999982,0.484375,95.41633235609346,0.5076437000243459,168.390625,393.97711424451495,200,10
4006,high,Fog-only,200,199,359.1826785835942,720.4459176684802,0.5,2.2111111111111112,19.416333742505568,1.4789098436841066,0.3083630054982122,0.17487745639213956,0.0,0.0,100.0,0.0,63.45,113.715,174.8339999999996,0.3125,100.62901992876662,0.310546599997906,156.34375,644.0257275441064,200,10
4007,high,DT-KF-CostAware,200,198,336.5417166727415,767.8156601583904,0.0,2.2,17.954535964105837,1.4937616946177277,0.3052995484484214,0.20714705097411262,0.0,0.0,99.5,0.5,982.55,1400.2299999999998,2393.064,0.5,97.12053163284753,0.5148241999850143,164.73046875,388.4821265313901,200,10
4007,high,DT-OPT,200,198,335.8836495130783,767.8156601583904,0.0,2.2,18.001128741807015,1.4931716611139372,0.304684413790267,0.19773271513731086,0.0,0.0,99.5,0.5,924.7,1272.9999999999998,1732.7559999999999,0.46875,98.65189424318808,0.4751555999973789,165.89453125,420.91474877093583,200,10
4007,high,SemiGreedy,200,199,252.10442883896133,368.5990948034962,0.0,2.2111111111111112,61.26797730889839,4.0993957605553755,0.3081853426929275,0.10217365623154165,0.0,0.0,46.5,53.5,1007.9,1729.1499999999992,2094.8409999999953,0.53125,100.15315656108814,0.5304376000131015,168.0078125,377.0471776417436,200,10
4007,high,Fog-only,200,198,342.8964437597388,750.1975266792658,0.5,2.2,16.754850929769567,1.4837210082433028,0.2988859994623898,0.13717284814555633,0.0,0.0,100.0,0.0,63.2,100.90999999999995,126.85999999999967,0.3125,103.28693740064308,0.30255519997444935,156.515625,661.0363993641157,200,10
4008,high,DT-KF-CostAware,200,199,341.8893607491349,687.6118301456006,0.0,2.2111111111111112,15.727734616425133,1.4529422215773993,0.3175793723829702,0.27144423881006235,0.0,0.0,100.0,0.0,915.55,1547.3349999999998,2122.5579999999995,0.46875,96.21102017043859,0.48721029999433085,166.17578125,410.50035272720464,200,10
4008,high,DT-OPT,200,199,339.9100434864191,688.620406645699,0.0,2.2111111111111112,15.707625459192254,1.4349043944875126,0.3166668749390991,0.24350365861157228,0.0,0.0,100.0,0.0,959.1500000000001,1633.8149999999998,2034.1029999999976,0.484375,95.28981579730659,0.5083177000051364,166.328125,393.45472329210463,200,10
